date,Close,Return,LogReturn,Gap,Body,UpperShadow,LowerShadow,BETA10,BETA20,BETA30,BETA5,CNTD10,CNTD20,CNTD30,CNTD5,CNTN10,CNTN20,CNTN30,CNTN5,CNTP10,CNTP20,CNTP30,CNTP5,CORD10,CORD20,CORD30,CORD5,CORR10,CORR20,CORR30,CORR5,IMAX10,IMAX20,IMAX30,IMAX5,IMIN10,IMIN20,IMIN30,IMIN5,IMXD10,IMXD20,IMXD30,IMXD5,MA10,MA20,MA30,MA5,MAX10,MAX20,MAX30,MAX5,MIN10,MIN20,MIN30,MIN5,QTLD10,QTLD20,QTLD30,QTLD5,QTLU10,QTLU20,QTLU30,QTLU5,RANK10,RANK20,RANK30,RANK5,RESI10,RESI20,RESI30,RESI5,ROC10,ROC20,ROC30,ROC5,RSQR10,RSQR20,RSQR30,RSQR5,RSV10,RSV20,RSV30,RSV5,STD10,STD20,STD30,STD5,SUMD10,SUMD20,SUMD30,SUMD5,SUMN10,SUMN20,SUMN30,SUMN5,SUMP10,SUMP20,SUMP30,SUMP5,VMA10,VMA20,VMA30,VMA5,VSTD10,VSTD20,VSTD30,VSTD5,VSUMD10,VSUMD20,VSUMD30,VSUMD5,VSUMN10,VSUMN20,VSUMN30,VSUMN5,VSUMP10,VSUMP20,VSUMP30,VSUMP5,WVMA10,WVMA20,WVMA30,WVMA5
2026-06-04T04:00:00Z,602.49,,,,0.0269482512,0.0140110452,0.0157155519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-05T04:00:00Z,539.45,-0.104632442,-0.1105209657,-0.0404156086,-0.0669215069,0.0029404642,0.0000345937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-08T04:00:00Z,570.28,0.0571508017,0.0555773663,0.0556678098,0.0014047903,0.0188066306,0.0156282925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09T04:00:00Z,561.65,-0.0151329172,-0.0152485882,0.0251630778,-0.0393069121,0.0062603698,0.0677351487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-10T04:00:00Z,541.51,-0.0358586308,-0.0365173466,-0.0186949168,-0.0174907013,0.0381384378,0.0043000998,,,,-0.0184225591,,,,,,,,,,,,,,,,,,,,-0.6679635399,,,,0,,,,0.6,,,,-0.6,,,,1.0398256727,,,,1.1277908072,,,,0.9640634522,,,,1,,,,1.0531292128,,,,0.4,,,,-0.0029805544,,,,,,,,0.3783081779,,,,0.2194901872,,,,0.0423586482,,,,,,,,,,,,,,,,1.3046510016,,,,0.4534484275,,,,,,,,,,,,,,,,
2026-06-11T04:00:00Z,586.1,0.0823438164,0.07912889,0.0244686155,0.0564928978,0.0027218978,0,,,,0.0110100665,,,,-0.2,,,,0.6,,,,0.4,,,,-0.6731008529,,,,-0.4416177792,,,,0.4,,,,0.4,,,,0,,,,0.955123699,,,,1.0037365637,,,,0.8907183075,,,,0.9239208326,,,,0.9730080191,,,,1,,,,0.0228561679,,,,-0.027203771,,,,0.2680322539,,,,0.9669384058,,,,0.0300754,,,,-0.0980087305,,,,0.5490043652,,,,0.4509956348,,,,1.5194646752,,,,0.4446379378,,,,0.0696162844,,,,0.4651918578,,,,0.5348081422,,,,0.7204516778
2026-06-12T04:00:00Z,595.39,0.0158505375,0.0157262295,-0.0049138372,0.0208669113,0.0119508933,0.0078701005,,,,0.0125413594,,,,0.2,,,,0.4,,,,0.6,,,,-0.0441088422,,,,-0.5988237586,,,,0.8,,,,0.2,,,,0.6,,,,0.9590117402,,,,1.0117066125,,,,0.8768202355,,,,0.9433312619,,,,0.9843967819,,,,1,,,,0.0159055409,,,,0.1036982111,,,,0.3131516367,,,,0.9132113062,,,,0.0316943807,,,,0.4929502996,,,,0.2535248502,,,,0.7464751498,,,,2.058814253,,,,0.8145968889,,,,-0.5049533197,,,,0.7524766598,,,,0.2475233402,,,,0.5799999528
2026-06-15T04:00:00Z,627.76,0.0543677254,0.0529412748,0.0457179328,0.0082716307,0.0030034853,0.0065209361,,,,0.0296450873,,,,0.2,,,,0.4,,,,0.6,,,,0.0017984463,,,,-0.7990087527,,,,0.8,,,,0,,,,0.8,,,,0.9278737097,,,,1.0029788454,,,,0.8316076207,,,,0.8946890531,,,,0.9484357079,,,,1,,,,0.0128361157,,,,0.1007925931,,,,0.7975443658,,,,0.9826175869,,,,0.046945104,,,,0.4997391758,,,,0.2501304121,,,,0.7498695879,,,,2.2693856429,,,,1.2209535451,,,,-0.4020420133,,,,0.7010210067,,,,0.2989789933,,,,0.6469102107
2026-06-16T04:00:00Z,591.53,-0.0577131388,-0.0594455272,-0.0063798267,-0.0516629125,0.0094347941,0.0014268423,,,,0.023954829,,,,0.2,,,,0.4,,,,0.6,,,,-0.3762059401,,,,-0.8800009955,,,,0.8,,,,0,,,,0.8,,,,0.9948066877,,,,1.0644261491,,,,0.9114330634,,,,0.9908204149,,,,1.0065254509,,,,0.6,,,,-0.0427163457,,,,0.0532003917,,,,0.526754484,,,,0.5788950276,,,,0.0466771093,,,,0.2095077829,,,,0.3952461085,,,,0.6047538915,,,,0.9624667602,,,,0.2922425702,,,,-0.6244290537,,,,0.8122145269,,,,0.1877854731,,,,0.595182961
2026-06-17T04:00:00Z,599.54,0.013541156,0.0134502939,0.0324074857,-0.0182741117,0.0181594891,0.0005894875,0.007796078,,,0.0038396104,,,,0.6,,,,0.2,,,,0.8,,,,-0.6167339454,-0.8479906812,,,-0.7509710705,0.8,,,0.6,0.3,,,0,0.5,,,0.6,0.9700270207,,,1.0008740034,1.0502051573,,,1.0502051573,0.870750909,,,0.9253094039,0.9368015479,,,0.9866397571,1,,,1,0.8,,,0.8,-0.0051093717,,,-0.0085532241,,,,0.1071633026,0.2535696298,,,0.0501338244,0.7202342225,,,0.5980235043,0.0444687101,,,0.0242513956,,,,0.4447084068,,,,0.2776457966,,,,0.7223542034,2.3106196886,,,1.4526509345,1.2032789952,,,0.4590350459,,,,-0.4703436928,,,,0.7351718464,,,,0.2648281536,,,,0.8220094159
2026-06-18T04:00:00Z,638.77,0.065433499,0.0633817577,0.0449844881,0.019568722,0.0087149447,0.0002873059,0.0143850326,,,0.009164488,0.2,,,0.6,0.4,,,0.2,0.6,,,0.8,-0.6436916162,,,-0.5350155471,-0.8474364318,,,-0.5590403925,0.9,,,0.8,0.2,,,0,0.7,,,0.8,0.9161325673,,,0.9558964886,1.0085476776,,,1.0085476776,0.8172738231,,,0.9058503061,0.8792679681,,,0.9320882321,0.9385850932,,,0.9827637491,1,,,1,0.019134786,,,0.0257745354,0.0602167671,,,0.0898652107,0.7100221727,,,0.189821206,0.955311835,,,0.9167682927,0.0490345133,,,0.0297475252,0.1240935833,,,0.4209222409,0.4379532084,,,0.2895388796,0.5620467916,,,0.7104611204,1.9959114766,,,1.1007030447,1.0928058774,,,0.2643836307,-0.0443698161,,,-0.3529394688,0.522184908,,,0.6764697344,0.477815092,,,0.3235302656,0.9949511669,,,0.6313895163
2026-06-22T04:00:00Z,655.17,0.0256743429,0.0253502918,0.0236235265,0.002003487,0.001039978,0.0149573303,0.015195316,,,0.0155776363,0.4,,,0.6,0.3,,,0.2,0.7,,,0.8,-0.3181612825,,,-0.5856832207,-0.7484108222,,,-0.2683487902,0.9,,,0.8,0.1,,,0.2,0.8,,,0.6,0.9108628295,,,0.9502175008,1.0010378986,,,1.0010378986,0.7968160935,,,0.9015064792,0.8704305753,,,0.9150907398,0.9581635301,,,0.9749683288,1,,,1,0.0207582487,,,0.0186272265,0.2145147836,,,0.1004047767,0.7252358756,,,0.3659962547,0.9949177877,,,0.9895721515,0.0512503776,,,0.0364148259,0.4709425362,,,0.4520568663,0.2645287319,,,0.2739715668,0.7354712681,,,0.7260284332,1.4798887029,,,0.9450856607,0.7933857089,,,0.2268528403,-0.3644414338,,,0.0127285929,0.6822207169,,,0.4936357035,0.3177792831,,,0.5063642965,0.6736062892,,,0.5605711321
2026-06-23T04:00:00Z,603.05,-0.079551872,-0.0828946319,-0.0725918464,-0.0075048139,0.0197988842,0.0079491779,0.0141481811,,,0.0130453528,0.2,,,0.2,0.4,,,0.4,0.6,,,0.6,-0.3232314228,,,-0.4306632051,-0.7267682172,,,-0.3320267124,0.8,,,0.6,0,,,0,0.8,,,0.6,0.9950203134,,,1.0241472515,1.0875549291,,,1.0875549291,0.8656827792,,,0.9794212752,0.9718928779,,,0.9941795871,1.0409750435,,,1.0592322361,0.7,,,0.6,-0.0586871283,,,-0.0502379571,0.0574630006,,,-0.0393621766,0.5716991316,,,0.2011244287,0.6053811659,,,0.1903082349,0.0537457117,,,0.0411375492,0.1227294858,,,-0.1625764853,0.4386352571,,,0.5812882426,0.5613647429,,,0.4187117574,1.1503077595,,,0.8650983991,0.6298819522,,,0.1852843751,-0.1974884255,,,0.2651928793,0.5987442127,,,0.3674035604,0.4012557873,,,0.6325964396,0.6315872372,,,0.5959934343
2026-06-24T04:00:00Z,601.98,-0.0017743139,-0.0017758899,0.0032501451,-0.0050081817,0.0070907919,0.0253218955,0.0100961776,,,-0.0051230938,0.2,,,0.2,0.4,,,0.4,0.6,,,0.6,-0.2671408402,,,-0.0899886985,-0.6671387878,,,0.2070848377,0.7,,,0.4,0,,,0.8,0.7,,,-0.4,1.003488488,,,1.0294395163,1.0894880229,,,1.0894880229,0.8956111499,,,0.9745506495,0.9826406193,,,1,1.042825343,,,1.0611149872,0.6,,,0.4,-0.048921287,,,-0.0191933287,0.0718062851,,,0.0176660524,0.3434982666,,,0.0363096083,0.5384285837,,,0.2214192802,0.0494790872,,,0.038022137,0.1554442089,,,0.0894462039,0.4222778955,,,0.4552768981,0.5777221045,,,0.5447231019,1.4166203033,,,1.1669471118,0.4599122537,,,0.2058587479,-0.5532383524,,,-0.3952451675,0.7766191762,,,0.6976225837,0.2233808238,,,0.3023774163,0.7629578195,,,0.9073702942
2026-06-25T04:00:00Z,624.92,0.0381075783,0.0373994194,0.0581414665,-0.0189330905,0.0000706459,0.0404251311,0.0048695688,,,-0.0129440568,0.4,,,0.2,0.3,,,0.4,0.7,,,0.6,-0.2777251334,,,0.1992518286,-0.3287295116,,,-0.0246781358,0.6,,,0.2,0,,,0.6,0.6,,,-0.4,0.9799990399,,,0.9997727709,1.0494943353,,,1.0494943353,0.8877296294,,,0.9387761633,0.9527459515,,,0.9650035205,1.0045445817,,,1.0221628368,0.7,,,0.6,-0.0019120993,,,0.0261153428,0.1540322432,,,0.0423324549,0.1627126425,,,0.3099093267,0.6940350183,,,0.5529700824,0.0346742302,,,0.0328827466,0.3180552908,,,0.1926229508,0.3409723546,,,0.4036885246,0.6590276454,,,0.5963114754,0.77524055,,,0.7562673811,0.2107268283,,,0.1584476118,-0.1212047394,,,0.434093672,0.5606023697,,,0.282953164,0.4393976303,,,0.717046836,0.77775054,,,0.6819592547
2026-06-26T04:00:00Z,589.56,-0.0565832427,-0.0582471456,-0.0379888626,-0.0193286536,0.0072191357,0.0010895239,0.0000702116,,,-0.0185477305,0.2,,,-0.2,0.4,,,0.6,0.6,,,0.4,-0.1715533508,,,0.3898964588,-0.1916316913,,,0.0402575326,0.5,,,0,0,,,0.4,0.5,,,-0.4,1.039363254,,,1.0430422688,1.1124397856,,,1.1124397856,0.9814607504,,,0.9950810774,1.0098887306,,,1.0210665581,1.0647940837,,,1.0599769319,0.1,,,0.2,-0.0396792061,,,-0.0059468078,0.0059034294,,,-0.0770386837,0.0000312473,,,0.4475868357,0.1415436415,,,0.0419135713,0.0360769355,,,0.0392073169,0.0136748083,,,-0.3847837986,0.4931625958,,,0.6923918993,0.5068374042,,,0.3076081007,0.8947971223,,,0.9645634879,0.1990320587,,,0.1738450195,-0.1291273648,,,0.1810468408,0.5645636824,,,0.4094765796,0.4354363176,,,0.5905234204,0.6637189906,,,0.672437046
