date,Close,Return,LogReturn,Gap,Body,UpperShadow,LowerShadow,BETA10,BETA20,BETA30,BETA5,BETA60,CNTD10,CNTD20,CNTD30,CNTD5,CNTD60,CNTN10,CNTN20,CNTN30,CNTN5,CNTN60,CNTP10,CNTP20,CNTP30,CNTP5,CNTP60,CORD10,CORD20,CORD30,CORD5,CORR10,CORR20,CORR30,CORR5,IMAX10,IMAX20,IMAX30,IMAX5,IMIN10,IMIN20,IMIN30,IMIN5,IMXD10,IMXD20,IMXD30,IMXD5,MA10,MA20,MA30,MA5,MA60,MAX10,MAX20,MAX30,MAX5,MIN10,MIN20,MIN30,MIN5,QTLD10,QTLD20,QTLD30,QTLD5,QTLD60,QTLU10,QTLU20,QTLU30,QTLU5,QTLU60,RANK10,RANK20,RANK30,RANK5,RANK60,RESI10,RESI20,RESI30,RESI5,RESI60,ROC10,ROC20,ROC30,ROC5,ROC60,RSQR10,RSQR20,RSQR30,RSQR5,RSQR60,RSV10,RSV20,RSV30,RSV5,STD10,STD20,STD30,STD5,STD60,SUMD10,SUMD20,SUMD30,SUMD5,SUMD60,SUMN10,SUMN20,SUMN30,SUMN5,SUMN60,SUMP10,SUMP20,SUMP30,SUMP5,SUMP60,VMA10,VMA20,VMA30,VMA5,VSTD10,VSTD20,VSTD30,VSTD5,VSUMD10,VSUMD20,VSUMD30,VSUMD5,VSUMN10,VSUMN20,VSUMN30,VSUMN5,VSUMP10,VSUMP20,VSUMP30,VSUMP5,WVMA10,WVMA20,WVMA30,WVMA5
2026-07-30T15:55:00Z,18.4699993134,-0.0227513394,-0.0230141448,-0.001587237,-0.0211977482,0,0.0031796218,-0.0005315761,-0.0033498752,-0.0026243454,0.0031943599,0.0002903559,-0.4,-0.4,-0.2,-0.2,-0.0833333333,0.7,0.7,0.6,0.6,0.5333333333,0.3,0.3,0.4,0.4,0.45,0,0,,0,0,0,,0,0.8,0.1,,0.6,0.4,0.7,,0,0.4,-0.6,,0.6,1.010395257,1.0288305619,1.0416170716,1.0109366776,1.0346057046,1.0373579079,1.0714673336,,1.0373579079,0.9805090029,0.9805090029,,0.9810504338,1,1.0129940325,1.0162426181,1,0.9956686558,1.0232810136,1.0541418537,1.0687601789,1.0232810136,1.0698430408,0.4,0.2,0.1333333333,0.4,0.25,-0.0080031646,0.0029932525,-0.0035640632,-0.0173253973,-0.0431712036,-0.033490386,-0.0576531146,0.0440926374,0,0.0126096242,0.0107562886,0.7005361887,0.6110599134,0.0906788138,0.0215583287,0.3428561567,0.2142849033,,0.3365373153,0.0147218094,0.0230785843,0.029058174,0.0150018882,0.0342470689,-0.2500005588,-0.2935065964,0.1007750639,0,0.0167516106,0.6250002794,0.6467532982,0.4496124681,0.5,0.4916241947,0.3749997206,0.3532467018,0.5503875319,0.5,0.5083758053,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2026-07-30T16:15:00Z,18.1700000763,-0.0162425148,-0.0163758704,0.0010828619,-0.017306636,0.0027042263,0.0010816905,-0.0007404798,-0.0036100155,-0.0032857407,-0.0094111226,0.0001302719,-0.4,-0.4,-0.2666666667,-0.2,-0.1166666667,0.7,0.7,0.6333333333,0.6,0.55,0.3,0.3,0.3666666667,0.4,0.4333333333,0,0,,0,0,0,,0,0.7,0.05,,0.4,0.3,0.65,,0.8,0.4,-0.6,,-0.4,1.022454574,1.0421023485,1.0580076958,1.0268574421,1.0516143776,1.0544854027,1.0891579985,,1.0544854027,0.996697883,0.996697883,,0.9988992593,1.0044028576,1.0165106899,1.0330214848,1.0165106899,1.0121078323,1.0357732315,1.0638414883,1.0864061468,1.0401760891,1.0875068875,0.1,0.05,0.0333333333,0.2,0.05,-0.0191224148,-0.0078072013,-0.0103644562,-0.0080351968,-0.0554574,-0.0441872774,-0.069159854,-0.0236432305,-0.0038377026,-0.0043835575,0.0189101666,0.7210527407,0.8538551705,0.6522942474,0.0041748293,0.05714239,0.0357139613,,0.0198024289,0.0154665168,0.0245144061,0.0307772916,0.0164791443,0.0349165904,-0.3043480665,-0.3316952948,-0.0617978536,-0.0451611157,-0.0057061308,0.6521740332,0.6658476474,0.5308989268,0.5225805578,0.5028530654,0.3478259668,0.3341523526,0.4691010732,0.4774194422,0.4971469346,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2026-07-30T16:35:00Z,18.2199993134,0.0027517467,0.0027479675,0.001651111,0.0010988214,0.0032967786,0.0021978524,-0.0009247244,-0.0034631037,-0.0034028553,-0.0123490674,-0.0000297683,-0.2,-0.4,-0.2666666667,-0.2,-0.1,0.6,0.7,0.6333333333,0.6,0.55,0.4,0.3,0.3666666667,0.4,0.45,0,0,,0,0,0,,0,0.6,0,,0.2,0.2,0.6,,0.6,0.4,-0.6,,-0.4,1.0163556722,1.0350713743,1.0521588336,1.0180022103,1.0487010994,1.0515916888,1.0861691362,,1.0515916888,0.9939627493,0.9939627493,,0.9961580847,1.00109772,1.013721186,1.0268935121,1,1.0093304107,1.0301866721,1.0510428288,1.0812295008,1.0373216427,1.0845225562,0.2,0.1,0.0666666667,0.4,0.0666666667,-0.0121944125,-0.002171889,-0.002817432,0.0066959245,-0.0478229333,-0.0318809985,-0.0770010373,-0.0811901471,-0.029302138,-0.0016438732,0.0284436694,0.7125236813,0.8694780008,0.8927314428,0.000218722,0.1047607456,0.0654754066,,0.0693066128,0.0157487637,0.023657109,0.031586638,0.0184836929,0.0348584964,-0.2290080393,-0.3897435546,-0.2705884767,-0.514020824,-0.0021322459,0.6145040196,0.6948717773,0.6352942383,0.757010412,0.5010661229,0.3854959804,0.3051282227,0.3647057617,0.242989588,0.4989338771,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2026-07-30T16:55:00Z,18.1000003815,-0.0065861107,-0.0066078948,-0,-0.0065861107,0.0071350754,0.00109772,-0.0014833411,-0.0034823246,-0.0033764968,-0.0102209858,-0.0002108477,-0.2,-0.4,-0.3333333333,-0.6,-0.1,0.6,0.7,0.6666666667,0.8,0.55,0.4,0.3,0.3333333333,0.2,0.45,0,0,,0,0,0,,0,0.5,0.05,,0,0.9,0.95,,0.8,-0.4,-0.9,,-0.8,1.0197237232,1.0379281431,1.0550828469,1.0150275886,1.055607712,1.0585635052,1.0790055401,,1.0585635052,0.9988950024,0.9988950024,,0.9988950024,1.0066297751,1.0082872716,1.0204419295,1.0038673864,1.0160220443,1.037016578,1.0558011164,1.0883978093,1.0204419295,1.0917126968,0.1,0.05,0.0333333333,0.2,0.0333333333,-0.0130486881,-0.0048460594,-0.0061236428,0.0054143831,-0.0493877038,-0.0326028184,-0.0741687423,-0.1083743319,-0.0463645512,-0.002754779,0.0643601047,0.7122469244,0.8703876877,0.8028757874,0.0107850777,0.0185189437,0.0137934119,,0.0185189437,0.0167942125,0.0237930318,0.0313255858,0.0161318288,0.0351607072,-0.2319390808,-0.3785897871,-0.3928571793,-0.8979604944,-0.0035485638,0.6159695404,0.6892948935,0.6964285897,0.9489802472,0.5017742819,0.3840304596,0.3107051065,0.3035714103,0.0510197528,0.4982257181,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2026-07-30T17:15:00Z,17.8799991608,-0.0121547633,-0.0122292365,-0,-0.0121547633,0,0,-0.0040336255,-0.0036458608,-0.0036245855,-0.0069910518,-0.0004089819,-0.2,-0.4,-0.3333333333,-0.6,-0.1333333333,0.6,0.7,0.6666666667,0.8,0.5666666667,0.4,0.3,0.3333333333,0.2,0.4333333333,0,0,,0,0,0,0,0,0.4,0,0.0666666667,0,0.9,0.95,0.9666666667,0.8,-0.5,-0.95,-0.9,-0.8,1.0302013736,1.0462528332,1.0646719298,1.0161074106,1.068269997,1.0715884087,1.0922819689,1.123042554,1.055369224,1,1,1,1,1.0162192913,1.0201342633,1.0329977729,1.0123043194,1.0285235041,1.0497763612,1.0671141398,1.0961969408,1.0190156694,1.1051454785,0.1,0.05,0.0333333333,0.2,0.0333333333,-0.0120500586,-0.0116171557,-0.0121154402,-0.0021253071,-0.0562050324,-0.0202740186,-0.0816641093,-0.0923858646,-0.0539682793,-0.0191991437,0.3574818562,0.7177030959,0.8862178344,0.8609766738,0.0384368384,0,0,0,0,0.0193774021,0.0248155266,0.0333255501,0.0106552054,0.0361268843,-0.1548122297,-0.4005036936,-0.3486593566,-0.910715563,-0.0245959616,0.5774061149,0.7002518468,0.6743296783,0.9553577815,0.5122979808,0.4225938851,0.2997481532,0.3256703217,0.0446422185,0.4877020192,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0
2026-07-30T17:35:00Z,18.0799999237,0.0111857255,0.0111236279,-0,0.0111857255,0.0011185939,0,-0.0048303847,-0.0033996778,-0.0036191896,-0.0028761087,-0.0005664373,-0.2,-0.4,-0.3333333333,-0.2,-0.1333333333,0.6,0.7,0.6666666667,0.6,0.5666666667,0.4,0.3,0.3333333333,0.4,0.4333333333,0,0,0,0,0,0,0,0,0.3,0,0.0333333333,0,0.8,0.9,0.9333333333,0.6,-0.5,-0.9,-0.9,-0.6,1.0166482209,1.0307245488,1.0496497023,1.0005530889,1.0561946932,1.0597345093,1.0790929376,1.1106194695,1.0254425328,0.9889380109,0.9889380109,0.9889380109,0.9889380109,1.00110622,1.0077433291,1.0094026591,1,1.0171459882,1.0381637465,1.0514380702,1.0813052721,1.0049778846,1.0929203713,0.2,0.1,0.0666666667,0.4,0.05,0.0050885104,0.0015723901,0.0028285464,0.0051991286,-0.0394847942,-0.0211152899,-0.0732957606,-0.0887096883,-0.0211152899,-0.0152505816,0.4846658929,0.701111457,0.8896407927,0.3999995486,0.0739358587,0.1562505122,0.1226997742,0.0909094062,0.3030306533,0.01992909,0.0234120827,0.0332118608,0.0064311783,0.0360765124,-0.1645567787,-0.3462469577,-0.3333333333,-0.4382018619,-0.0195804765,0.5822783893,0.6731234789,0.6666666667,0.719100931,0.5097902382,0.4177216107,0.3268765211,0.3333333333,0.280899069,0.4902097618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-30T17:55:00Z,17.9599990845,-0.0066372146,-0.0066593388,-0.00055311,-0.0060874716,0,0.0038738072,-0.0066646455,-0.0033491311,-0.0036547678,-0.0030066868,-0.0007405397,-0.2,-0.4,-0.4,-0.2,-0.1666666667,0.6,0.7,0.7,0.6,0.5833333333,0.4,0.3,0.3,0.4,0.4166666667,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.7,0.85,0.9,0.4,-0.5,-0.85,-0.9,-0.2,1.0218819946,1.0337973646,1.0530624063,1.0048998047,1.0628526878,1.0668151907,1.0785078968,1.1180401418,1.0217149954,0.995545661,0.995545661,0.995545661,0.995545661,1.0066815615,1.0116927062,1.0155902395,1,1.0233853061,1.0451003015,1.0567929014,1.0868597691,1.0077951728,1.100222786,0.2,0.1,0.0666666667,0.4,0.05,0.0081089103,-0.001980619,-0.0000682737,0.0011135688,-0.0410067653,-0.015350915,-0.0708743324,-0.0974874659,-0.0115575669,-0.0233822903,0.8164110676,0.6946533078,0.8903181135,0.4209006516,0.1209606705,0.0624999069,0.0536911635,0.0363635891,0.1702121615,0.0211860302,0.0231709543,0.033525588,0.0065541048,0.0368745374,-0.1238940966,-0.3366094103,-0.36329584,-0.2957756316,-0.0298818928,0.5619470483,0.6683047052,0.68164792,0.6478878158,0.5149409464,0.4380529517,0.3316952948,0.31835208,0.3521121842,0.4850590536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-30T18:15:00Z,17.9200000763,-0.0022271164,-0.0022296001,0.0005568056,-0.0027823728,0.0011129916,0.0016694874,-0.0064461572,-0.0033587044,-0.0036636702,-0.0015625038,-0.0009265661,-0.4,-0.4,-0.4,-0.6,-0.1666666667,0.7,0.7,0.7,0.8,0.5833333333,0.3,0.3,0.3,0.2,0.4166666667,0,0,0,0,0,0,0,0,0.1,0,0.0333333333,0,0.6,0.8,0.8666666667,0.2,-0.5,-0.8,-0.8333333333,-0.2,1.0194196189,1.0326729724,1.051841505,1.0037946233,1.0648995468,1.0691964155,1.0714286094,1.1082589579,1.0239955526,0.9977678061,0.9977678061,0.9977678061,0.9977678061,1.0022320875,1.0100446598,1.0167410288,1,1.0256695917,1.0306919216,1.0585937072,1.0887276867,1.0089285629,1.1026785795,0.2,0.1,0.0666666667,0.4,0.05,0.0095880883,-0.0007652811,0.001281713,-0.0006696156,-0.0375658454,-0.0452850485,-0.0642297424,-0.0967741966,-0.0164653814,-0.0191571085,0.7924640415,0.6949049368,0.8903658898,0.2058817755,0.1836811828,0.0312506985,0.0303036871,0.0202024678,0.0851081099,0.0207987905,0.0232329792,0.0336063494,0.0048699795,0.0374407377,-0.4802265975,-0.3129769585,-0.3609021613,-0.4285698716,-0.0244584548,0.7401132988,0.6564884792,0.6804510806,0.7142849358,0.5122292274,0.2598867012,0.3435115208,0.3195489194,0.2857150642,0.4877707726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-30T18:35:00Z,17.8500003815,-0.003906233,-0.0039138822,-0,-0.003906233,0,0.0027902424,-0.0050895482,-0.0033883026,-0.0037103168,-0.0012324784,-0.00111114,-0.6,-0.4,-0.4,-0.6,-0.2,0.8,0.7,0.7,0.8,0.6,0.2,0.3,0.3,0.2,0.4,0,0,0,0,0,0,0,0,0,0.5,0,0.2,0.9,0.95,0.9666666667,0.8,-0.9,-0.45,-0.9666666667,-0.6,1.017086798,1.0332772758,1.0525116397,1.0049299351,1.0685900772,1.0733893243,1.0733893243,1.1126050524,1.0140056019,0.9971988155,0.9971988155,0.9971988155,0.9971988155,1.0039215514,1.0128851281,1.0179271534,1.0016806038,1.0296918077,1.020728231,1.0588234854,1.0907562407,1.0061623922,1.1070027903,0.1,0.05,0.0333333333,0.2,0.0333333333,0.0058161688,-0.0010884007,0.001287954,-0.0024649782,-0.0358114474,-0.0595363113,-0.0644653851,-0.0939086452,-0.0138121544,-0.0283070459,0.7327512473,0.6968710071,0.8929547118,0.1508694223,0.2526655609,0.0367655309,0.0367655309,0.024272384,0.1666698456,0.0170776427,0.0234046322,0.0339848611,0.004487389,0.0382821266,-0.6932513758,-0.3129769585,-0.352380897,-0.3846144817,-0.0364146107,0.8466256879,0.6564884792,0.6761904485,0.6923072409,0.5182073054,0.1533743121,0.3435115208,0.3238095515,0.3076927591,0.4817926946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-30T18:55:00Z,17.6499996185,-0.0112045243,-0.0112677678,0.0005602369,-0.0117581738,0,0,-0.0038938946,-0.0035987993,-0.0037763084,-0.0054957469,-0.0013255811,-0.6,-0.4,-0.4666666667,-0.6,-0.2,0.8,0.7,0.7333333333,0.8,0.6,0.2,0.3,0.2666666667,0.2,0.4,0,0,0,0,0,0,0,0,0,0.45,0,0,0.9,0.95,0.9666666667,0.8,-0.9,-0.5,-0.9666666667,-0.8,1.021529752,1.0412464691,1.0603966118,1.0137110597,1.0800377914,1.0691218837,1.0855524227,1.1223795974,1.0254957945,1,1,1,1,1.0130311358,1.0175637095,1.0254957945,1.0113314882,1.0413597483,1.0294617829,1.0662889576,1.0951841553,1.0175637095,1.1195467794,0.1,0.05,0.0333333333,0.2,0.0166666667,-0.0040072261,-0.0070578755,-0.0056401397,-0.0027195658,-0.0409331497,-0.0661375675,-0.0695835394,-0.1081354825,-0.0128635097,-0.0381471797,0.8238551504,0.7140818262,0.8934210589,0.9308455024,0.3337671959,0,0,0,0,0.0123221287,0.0245572349,0.0345802866,0.0080556933,0.039736057,-0.7142857143,-0.3283580957,-0.3992537858,-0.3650780195,-0.0484094739,0.8571428571,0.6641790478,0.6996268929,0.6825390098,0.5242047369,0.1428571429,0.3358209522,0.3003731071,0.3174609902,0.4757952631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
